pelicula,genero,duracion,presupuesto,recaudacion,director,fecha_nac_director,actor_protagonista,fecha_nac_prota
Foxfire,Terror,1.37,16615737.45,37818107.03,Leticia Sandilands,1/15/1950,Sheilah Denver,2/19/2024
Vampire in Brooklyn,Fantasía,3.66,14252345.26,25560041.91,Melvyn Daton,10/20/1934,King Beaves,10/28/1936
"War Within, The",Musical,1.12,19695720.6,33222382.65,Charil Fayne,11/23/2018,Frannie Sach,7/14/2003
King Solomon's Mines,Misterio,3.15,9682515.12,17225596.04,Pippo Cobbing,9/7/1987,Mathilda Stammer,11/13/1949
Cat Ballou,Suspense,1.04,27716712.02,78491006.6,Katusha Wallbridge,7/4/1955,Adele Pudsey,9/5/1941
"Ferryman, The",Romance,2.65,19580646.87,52993359.63,Concordia Thorrington,8/25/1987,Felisha Manclark,6/29/1940
Five Minutes of Heaven,Animación,2.14,5466026.07,11932271.59,Julio Karpmann,11/30/1984,Eduard Di Domenico,1/25/1976
"Incredible Shrinking Woman, The",Animación,1.84,5628667.11,14389143.38,Gretta Rizzone,10/17/1983,Gracie Libbey,11/19/1989
Feed,Animación,1.72,23769852.38,42949652.01,Mandy Clarson,6/14/1997,Antonin Paddon,7/16/1930
August Rush,Documental,1.89,5766212.06,12964750.2,Kathryn Skelding,1/9/2014,Cicely Hughf,3/30/1990
Monkey Trouble,Misterio,2.88,25184985.67,43645728.28,Juieta Iacovielli,5/9/2019,Ari Jaxon,12/20/1953
Night at the Museum: Secret of the Tomb,Cine negro,3.59,12410453.07,30197258.15,Siana Garrattley,6/25/1932,Janeczka Smickle,1/14/1974
22 Bullets (L'immortel),Western,3.64,22522156.4,54661786.94,Corney Playford,4/5/2016,Clerissa Hartzog,7/24/1990
Conceiving Ada,Ciencia ficción,3.99,7883356.31,14827316.37,Leonid Keeffe,4/8/2019,Monroe Brakewell,9/2/2010
Casanova Brown,Documental,3.42,24854390.99,34546302.25,Jehu McCritichie,2/27/1982,Shelia Anscombe,9/20/2014
Bickford Shmeckler's Cool Ideas,Acción,2.05,25782131.77,54947871.09,Chryste Redd,3/31/1983,Giselbert Corkett,4/13/2016
One for the Money,Drama,1.87,7641074.73,18350539.34,Matthaeus Eck,4/27/2010,Meridel Scoggan,9/27/2007
Queen of Montreuil,Musical,3.94,13877586.5,27681203.8,Livvyy Gookey,1/7/1982,Damiano Cuer,11/14/1976
"Too Early, Too Late (Trop tôt, trop tard)",Ciencia ficción,2.51,28553646.6,55904889.53,Marieann Hardway,6/14/1949,Nelie Disdel,12/27/1950
Elvis Meets Nixon,Terror,2.3,11897311.91,35582186.08,Dennet Habgood,9/30/1940,Deena Mash,5/4/1967
Freaky Deaky,Musical,3.24,12628080.5,23690910.64,Dion Wurst,8/4/2018,Gal Tremonte,12/21/1959
Diva,Aventura,3.79,25061778.52,67020322.05,Guinna Gudgen,12/22/1952,Margot Woodruffe,7/17/2016
"Dust of Time, The",Documental,2.33,18090212.63,46593575.25,Kory Tansly,3/20/2012,Henri Syder,1/14/1999
Cold Weather,Musical,1.79,10862894.97,13651552.66,Penelope Ryan,10/14/1963,Celestyn Marchello,9/2/1970
Out 1: Spectre,Aventura,3.31,17972594.89,53730760.31,Nataline Harman,6/23/1962,Meggie Mapson,3/15/1961
Cool Runnings,Suspense,1.11,17305131.0,33128309.64,Marylee Darbyshire,11/17/1959,Katina Eades,10/4/2011
Rollerball,Ciencia ficción,1.99,14241885.66,38600754.5,Stace Croal,2/21/1934,Rahel Kemmett,2/14/1962
Last Resort (National Lampoon's Last Resort),Aventura,3.9,29060633.95,61354261.96,Lyndell Pedroli,8/7/1984,Danielle Knok,10/16/2018
"13th Letter, The",Ciencia ficción,2.29,8553344.31,21716434.27,Monti Kynson,12/22/1999,Melisande Sigfrid,1/19/1959
Bombshell,Western,2.99,26222876.83,44710643.71,Derek Downe,8/1/1945,Farlee Bealton,10/28/1985
Running Scared,Comedia,3.19,29959698.12,45985883.24,Davidson MacGhee,5/11/1988,Gwenette Silley,2/10/1968
"Occurrence at Owl Creek Bridge, An (La rivière du hibou)",Ciencia ficción,2.09,23600848.5,58408858.95,Deidre Folke,2/26/1991,Ragnar Mouatt,4/9/1994
"Aristocrats, The",Cine negro,1.55,9133923.08,13438871.55,Norene Bruneton,11/7/1961,Nedda Brackenbury,5/5/1954
"Dirty Shame, A",Romance,2.1,11150507.18,28765324.65,Balduin Ternott,10/29/1991,Meggi Willcox,7/18/1981
Border Radio,Drama,3.53,12313817.18,27945191.74,Fina Monelle,7/21/1946,Roxine Romanelli,2/15/1958
Waco: The Rules of Engagement,Aventura,2.04,7349058.69,11424562.47,Shaylyn Caen,10/23/1996,Duff McGarrie,12/6/1984
Chinaman (Kinamand),Fantasía,1.82,7368699.68,18584500.53,Skippie Philippart,10/19/2016,Ellsworth McComas,3/19/1949
Love Object,Drama,2.36,14005847.91,33897857.89,Tammara Mussared,10/20/1975,Cathie Nolin,4/4/2015
"Raven, The",Musical,3.72,20012028.88,31665700.73,Shauna Rudgard,4/16/1988,Ysabel Dyton,1/21/1931
Tom Jones,Bélico,1.12,19950973.42,32109961.98,Davey Slark,5/30/2024,Vonnie Close,9/15/1975
"Boy with Green Hair, The",Fantasía,1.89,15672471.01,22408526.3,Nicoli Gobert,1/2/1960,Denys Touhig,2/20/2018
La Bande du drugstore,Romance,2.5,29455881.58,56949847.33,Salli Coal,1/22/1962,Kevyn Colcomb,7/12/2017
"Gunfighter, The",Western,1.41,20190019.65,56391314.39,Stephen Rubertis,9/23/1963,Evey de Clerq,9/14/1945
Cat's Eye,Comedia,1.71,8523034.85,24783081.43,Tiertza Whyatt,9/4/2010,Pammi Gennrich,10/26/1971
"Golden Age, The (Âge d'Or, L')",Documental,3.26,20370336.85,59555792.81,Billy Decker,5/11/1985,Toiboid Tythe,7/24/2018
My Boy,Musical,3.73,13490971.11,39203793.73,Georgette Sinkings,3/21/2004,Thom Tournay,3/14/1954
"New Jean-Claude, The (Le nouveau Jean-Claude)",Musical,1.71,9372562.55,27161471.33,Baxter Hissie,4/26/1996,Ernestine Sebrook,1/6/2022
"Pact, The",Western,3.91,10479089.2,21900162.54,Helsa Steckings,9/24/1947,Brynn Drennan,8/31/2023
First Kid,Cine negro,3.47,25603237.24,46602886.41,Lyndell Qualtro,11/28/1987,Debbie Bruton,3/2/1963
Slow Southern Steel,Aventura,2.86,26019659.91,53645467.4,Jammal Snyder,4/23/1954,Worthy Flacknoe,7/16/1933
Michael Collins,Western,2.23,25005669.13,35417727.44,Kenton Stenet,3/10/2007,Wyatan Fulleylove,10/11/1991
"Song of Ceylon, The",Comedia,2.23,18999916.56,37774418.97,Cassi Cowup,4/19/1952,Sarena Garvin,3/14/2004
Ra.One,Terror,2.8,5963723.87,11264237.64,Kanya Fabry,2/11/2008,Dore Gladdis,9/21/1951
Falling Up,Romance,3.13,9349037.48,24678752.8,Darn Marriot,5/22/1939,Suzi Kneaphsey,7/13/2007
"Dark Lurking, The",Aventura,1.97,28493198.21,40163587.57,Sophia Dutchburn,5/26/1953,Joelle Claessens,12/14/1955
"Public Eye, The",Suspense,2.43,7063337.28,14654423.73,Claude Deane,2/9/2003,Roz Maddyson,1/26/2014
Shockproof,Documental,2.99,18734448.81,47688585.88,Saree Loveless,4/26/1952,Pren O'Sherrin,10/5/1954
Barnens ö,Western,3.95,14722165.25,34894803.73,Bobbi Belson,5/29/1997,Lydon Bixley,7/1/1954
"Lincoln Lawyer, The",Bélico,3.36,16655269.39,22073489.19,Alica Kilfeder,9/9/2014,Patricio Elbourn,9/17/1946
"Grapes of Death, The (Raisins de la mort, Les)",Cine negro,3.07,29478387.66,47404282.8,Buddie Warnes,1/25/1931,Urbain Newbegin,4/14/2018
Two Bits,Documental,1.41,24204067.82,37537135.76,Wake Fremantle,7/30/2006,Alethea Joisce,1/10/1977
Marc Maron: Thinky Pain,Bélico,2.87,7573181.2,12892280.02,Griz Colpus,12/11/1949,Fina Assinder,8/1/2010
Beloved (Les bien-aimées),Terror,3.62,11684675.17,20086272.68,Austine Hinckes,3/23/1934,Jason Handasyde,10/4/1996
"Joyless Street, The (Die freudlose Gasse)",Ciencia ficción,1.4,16292658.96,31878478.1,Alexine Stirtle,5/5/1945,Edy Sawer,12/16/2023
"Leading Man, The",Documental,2.2,13657609.3,31538242.9,Wash Dorrins,3/21/1936,Archibaldo Yeats,9/16/2004
Smokey and the Bandit,Aventura,3.03,10208567.8,27910805.03,Melisandra Kingsnoad,10/23/2008,Rodney Owtram,1/20/1963
Storyville,Histórico,1.35,28478400.52,52294661.43,Jermaine Copestick,12/11/2004,Baird Eskrick,8/14/1954
"Violent Years, The",Bélico,3.27,5228409.28,11667918.59,Lynea Scothorne,4/22/1962,Clio Fetherston,8/2/2019
"Holy Land, The",Documental,2.81,13136174.27,17505302.18,Jonis Drei,10/4/2000,Pepito Ellerker,1/5/1985
On the Town,Animación,1.08,13191263.61,32851089.16,Pasquale Vasilyonok,5/16/1951,Lindsey Sommerton,5/19/2020
On the Edge (Hak bak do),Animación,2.69,12809675.32,25528470.28,Haven Duffill,4/15/1991,Lia Orhrt,11/30/1947
Runaway Brain ,Terror,3.15,20285116.81,51257742.25,Fonz de Broke,9/29/1996,Brigitta Jeacock,8/8/1972
Susannah of the Mounties,Cine negro,1.5,18957462.41,25926578.54,Nicole Le Bosse,8/25/1981,Nadiya Malcolm,1/22/1933
"Man Who Laughs, The",Musical,2.35,29568578.78,88237782.97,Hunt Meysham,7/2/1931,Bobby Leyborne,12/23/2008
Red Dust,Animación,3.46,14804925.46,39522343.27,Leandra Thurnham,6/26/1958,Vilhelmina Hartless,4/30/1931
It's Pat,Musical,2.07,18613576.34,25610528.48,Katharyn Accombe,1/18/2018,Bucky Sambles,5/20/2020
Black Dragons,Drama,1.23,17160958.75,50174596.49,Carlin Westhoff,5/1/1949,Gloria Pownall,7/11/1936
Jim Jefferies: BARE,Documental,1.94,14861874.09,23342664.63,Nil Melledy,4/23/1946,Jacki Kenefick,9/1/2021
"Sign of the Cross, The",Misterio,2.33,19687985.28,45025805.14,Cindra Cushion,5/20/2022,Crysta Wiley,12/24/1944
"Station Agent, The",Bélico,3.49,20469676.21,55236817.32,Ellerey Clayworth,4/22/2018,Camila Bromet,4/24/2020
Frenchman's Creek,Musical,1.9,6173001.12,13759714.91,Sebastien Tolle,7/10/1982,Giralda Ricci,12/12/1997
Jacqueline Susann's Once Is Not Enough,Musical,3.52,19661911.37,39335782.87,Riobard Morhall,9/14/1942,Germain Rame,9/25/1944
Nine Months,Documental,3.88,15987773.49,26096202.64,Sibel Tompsett,8/29/2018,Henri Wadworth,7/19/1951
The Gamers,Comedia,2.14,9227811.26,27530363.13,Alexis Simmance,3/5/1940,Cyril Clitheroe,3/13/2024
Privilege,Western,2.39,25317800.88,50866298.02,Giuditta Le Sieur,11/19/1953,Tomasine Kegg,3/8/1998
You're Not You,Musical,3.78,27695561.22,40046076.48,Dominique Dunstall,4/19/2025,Bradley Beazey,12/8/1945
iSteve,Comedia,2.13,5021451.95,10947531.78,Nanete Marciek,6/4/1952,Far Coalbran,1/3/1932
"Special Day, A (Giornata particolare, Una)",Romance,2.97,17984348.9,33085148.15,Annamarie Falkingham,2/13/1997,Tilda Dymocke,9/19/1944
Inland Empire,Fantasía,1.04,24871478.34,47316289.24,Patricia Perham,11/9/1934,Blake Lackner,10/10/1971
Wag the Dog,Ciencia ficción,3.19,19501920.25,49195994.38,Izaak Yon,8/3/2007,Ayn Andriveaux,4/21/2011
"Warm December, A",Documental,3.36,20075717.47,55029129.58,Bertrand Aubray,7/8/1956,Jard Brecknell,7/31/1995
Such a Long Journey,Bélico,3.64,29938832.13,43228254.65,Rogers Winckle,4/28/1997,Boris Fant,6/17/2018
San Antonio,Ciencia ficción,3.11,5903824.66,12189122.36,Linzy Gravet,9/3/2015,Ingaborg Grimsley,7/24/1979
Violent Saturday,Misterio,2.8,27020871.12,79497640.56,Katheryn Basini-Gazzi,5/5/1937,Darsey McCarron,12/3/2010
Julian Po,Comedia,1.41,15872772.77,26508647.25,Silvester Fessions,8/18/1943,Coriss Beal,7/13/1967
"Bishop's Wife, The",Acción,3.07,19239210.47,54596230.8,Thorvald Konneke,11/25/1955,Janella Catherine,3/25/1984
Tyler Perry's Madea's Witness Protection,Drama,2.95,17173290.87,50674356.95,Evita Hopewell,4/29/2020,Dorette Paulson,4/22/1975
Among Wolves (Entrelobos),Suspense,3.31,23418194.91,67223588.07,Goldia Madge,7/8/2006,Lonni Yewdell,2/15/1974
Critters 4,Aventura,1.52,22709075.46,53618279.68,Georgetta MacTrustie,2/6/1950,Elwyn Lemmen,3/17/1980
Love,Animación,1.25,18814590.17,48378089.9,Sophronia Gothrup,8/27/2017,Orion Frascone,6/8/1936
Great Balls of Fire!,Western,2.5,8441260.77,20239257.1,Zara Vannozzii,3/6/1936,Lana Zienkiewicz,8/18/2025
Scusa ma ti chiamo amore,Suspense,3.18,15258385.08,36673298.7,Andy Guthrum,11/25/1959,Herminia Busson,8/15/1977
Little Dorrit,Suspense,2.9,17548500.44,52635186.16,Carlin Jentin,4/28/2013,Charmaine Cochrane,11/15/2001
"Godfather: Part II, The",Romance,3.15,15203455.63,26249748.46,Keane Rantoull,6/19/1953,Ardyce Bonifazio,7/26/1994
Herbie Goes to Monte Carlo,Acción,1.73,24860423.65,66655655.6,Minnie Borthwick,10/23/1977,Shirleen Bendel,5/14/1998
"Hard, Fast and Beautiful",Aventura,1.46,11584524.49,22603092.7,Gilda Yeudall,4/9/1989,Casper Leggin,11/18/2021
Am Ende eiens viel zu kurzen Tages (Death of a superhero),Acción,3.15,27959315.15,37652289.26,Ezmeralda Fulmen,9/9/1937,Bernice Cutmore,6/5/1962
Walking Tall,Western,1.47,28510622.91,39053846.57,Madel Abrami,7/23/1970,Niels Teggin,11/2/1949
Africa: Texas Style,Drama,3.0,29890060.43,63093860.5,Denny MacPhail,7/24/1936,Vinnie Buzek,1/9/1957
Spaceballs,Drama,3.75,25244926.57,34674613.38,Celestyn Rotlauf,6/13/2004,Gale Mollin,2/8/1948
Let's Get Harry,Misterio,2.67,24516985.47,60476239.37,Rebe Cotman,6/28/1986,Bobbe Ridgeway,4/2/2009
"Mississippi Mermaid (Sirène du Mississipi, La)",Aventura,3.24,26258871.71,63330223.8,Dominick Karleman,9/11/2019,Gwenore Hamprecht,1/29/1951
Countdown,Misterio,2.05,21748533.07,54914836.71,Darya Waterfall,10/7/2023,Carilyn Rummery,8/4/2011
Three Smart Girls Grow Up,Misterio,1.07,21006886.7,60865633.64,Vivianne Cartwight,7/3/1951,Marta Mocher,2/16/2008
"Lesson in Love, A (En lektion i kärlek)",Drama,1.33,6153173.54,9980892.36,Dre Sperski,5/29/2007,Wald Stinchcombe,9/4/1991
Hue and Cry,Ciencia ficción,3.06,14243098.72,30089018.62,Barton Ianne,3/29/1962,Binny Limpkin,9/25/1962
"Accidental Spy, The (Dak miu mai shing)",Documental,2.87,13098965.24,17460312.75,Huey Wadman,10/19/2004,Olympia McMychem,10/23/1944
Lost Horizon,Cine negro,3.32,21506846.13,57202341.98,Audi Pibworth,3/23/2007,Maryanne Kolyagin,9/29/1997
Easy Money,Comedia,1.69,25377737.93,48275001.54,Chery Currom,7/18/2020,Carroll Durant,5/11/2022
Spring Break Shark Attack,Histórico,3.6,22719875.26,55067081.15,Tabbitha Clay,9/10/1948,Ange Schultz,5/13/2025
India's Daughter,Documental,1.8,28235742.33,58165405.63,Oates Gissing,6/17/1982,Zack Omrod,12/26/2018
"Postman Always Rings Twice, The",Romance,2.2,18280637.83,48511569.03,Katlin Daltry,2/3/1945,Raynard Casella,1/12/1952
3:10 to Yuma,Romance,2.54,28535371.1,50033029.15,Bette-ann Kinforth,1/17/1935,Lilyan Ramm,7/9/1943
"Taking of Pelham 1 2 3, The",Western,2.93,18757509.24,53905919.97,Aldon Feathers,8/28/1965,Essa Cadreman,6/16/1989
People of the Wind,Drama,1.85,6901315.36,19599737.48,Josephina McCool,10/27/1954,Ludvig Stokell,12/26/1985
In the Bedroom,Musical,2.39,14395752.16,27142695.16,Padraic Stainer,10/2/1970,Larry Stemp,6/10/1934
Kitty Foyle,Suspense,2.09,21385733.58,55771362.78,Gaye Quilkin,11/17/1932,Jsandye Lackemann,4/30/1948
Tango,Terror,3.84,17080266.07,24623778.1,Whit Tregunna,2/16/1969,Farlee Gladtbach,8/30/1996
"Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott)",Western,3.18,5034629.99,9604377.03,Rosanna Dickie,3/6/1966,Christin Joslyn,2/2/2017
She's So Lovely,Animación,2.79,9317088.37,17459328.79,Tore Dalgety,10/22/2009,Guinevere Kirvell,3/5/1961
Mahoney's Last Stand,Cine negro,3.37,7295506.86,15113540.91,Stafford Cotes,7/30/2015,Sukey Mylchreest,12/26/1935
Pumping Iron,Acción,1.23,22109057.43,61155537.47,Anica Tutsell,1/18/1986,Galina Kopacek,4/28/2009
Greenberg,Drama,3.85,17027692.39,38613765.31,Marillin Yearsley,10/29/1937,Viv Geertz,8/29/1944
Riders of Destiny,Fantasía,2.69,12317143.53,31934375.98,Tabbie Kenchington,5/14/1977,Gerald Sandle,7/5/1948
How About You...,Animación,2.65,20556964.47,51565497.0,Roch McDugal,12/9/1931,Henderson Hydes,2/3/1964
Marat/Sade,Western,3.96,8465581.09,17684673.58,Merilyn Bradder,10/17/1993,Alaine Mulholland,7/2/2024
Into the Woods,Aventura,2.92,12168797.14,29490010.06,Inness Berney,5/11/1963,Devland Leal,3/4/1987
Dirty Sanchez: The Movie,Cine negro,3.78,25596078.76,75324933.1,Sim Bastin,4/5/1943,Ortensia Leahair,11/7/2002
"Magic Christian, The",Misterio,2.34,17209606.23,38176336.13,Prudi Matysik,1/29/1998,Correna Brack,3/29/1977
Knight and Day,Documental,2.62,28397533.38,75387252.84,Rosalinde Glentworth,11/7/2003,Sandra Merrikin,8/7/2003
Joffrey: Mavericks of American Dance,Fantasía,3.7,12859919.64,16542442.68,Hall Breens,7/25/1953,Rivkah McKague,10/30/1939
Ever After: A Cinderella Story,Western,2.98,15490626.9,27370325.79,Lion Simounet,9/15/2007,Rebe Kettle,4/18/1982
Parenthood,Drama,3.71,15620866.09,31084495.1,Bentlee Arnould,11/28/1942,Ambros Santori,4/24/1968
Don 2,Drama,3.56,9127018.9,25413533.44,Parnell Konzelmann,10/15/2007,Xymenes Prujean,8/15/1960
Lessons of Darkness (Lektionen in Finsternis),Western,2.08,17908102.56,29883626.75,Mile Geering,2/4/1997,Reta Greave,9/13/1961
"Saddest Music in the World, The",Musical,1.19,19918863.18,57464436.37,Isidro Gullis,7/8/1938,Emmery Brackpool,1/13/1965
Mister Magoo's Christmas Carol,Drama,2.61,23919314.38,55383601.59,Marla Degoey,1/19/1961,Jany Berthot,2/18/1944
Naughty Girl,Aventura,1.15,16727090.65,23031112.64,Elise Shakeshaft,4/29/1944,Andie Hallyburton,3/27/1988
Kurt & Courtney,Cine negro,3.6,26959129.11,47726503.53,Nev Laming,12/6/1991,Grantley Cushion,9/14/1969
"Game Plan, The",Bélico,2.87,29893215.26,63252428.07,Jennica Wimbush,4/20/2020,Antonetta Canceller,6/2/1963
Robot Jox,Drama,2.3,14287875.64,21057153.01,Court Mullett,4/17/1998,Chantalle Wotherspoon,7/26/1993
'Hellboy': The Seeds of Creation,Animación,1.64,11315867.02,33617734.8,Jaimie Beaton,7/4/1936,Letisha Marks,6/20/1983
Big Boys Gone Bananas!*,Terror,3.19,6819340.55,20164445.32,Garfield Whiterod,9/4/1963,Mala Napoleon,1/13/1960
"Thing with Two Heads, The",Misterio,2.09,23885725.05,59032896.7,Stella Dawes,2/4/2018,Kimbra Clearley,8/14/2012
Celeste and Jesse Forever (Celeste & Jesse Forever),Suspense,2.87,8614085.26,15575061.32,Tedi Manes,10/29/2006,Leese Emery,10/28/1955
Adrenaline Drive (Adorenarin doraibu),Drama,1.97,16472968.23,23531653.92,Raven Gerlts,8/29/2000,Britteny Kalkofer,2/14/1968
Ransom,Cine negro,3.39,22123871.34,28387459.27,Ddene Goldstraw,12/23/2007,Sigismondo Burnham,3/3/2007
Blood Work,Bélico,3.4,17296627.76,35355294.79,Conrado Balog,10/29/1989,Kettie Hartegan,11/29/1977
Legends of the Canyon,Comedia,1.46,27316514.01,43480097.11,Christal Hadfield,12/27/1934,Karoly Ince,3/18/2009
Synth Britannia,Documental,1.32,20701242.31,59094089.99,Perla O'Howbane,9/2/2025,Nichols Echalie,11/19/1989
Untamed Youth,Bélico,2.28,16343135.58,34110234.87,Petronella Stoop,12/9/1950,Rinaldo Taft,8/29/1952
Strangers When We Meet,Animación,1.33,29138894.9,55019631.29,Storm Top,6/28/1981,Reuben Le Fevre,7/15/1941
Ed,Bélico,3.75,17399616.29,38777486.59,Gerianna Standen,4/5/2024,Nev Sambeck,10/8/1983
Stalag Luft,Aventura,2.6,23391961.93,33601841.66,Cob Amer,6/17/1936,Roma Pennetti,11/27/1991
Omagh,Animación,1.12,14763582.56,37887815.91,Willamina Hastwell,7/22/1937,Tilda D'Aubney,9/18/2001
"Flight of Dragons, The",Romance,1.51,9619673.38,14689765.32,Wynnie Wrassell,11/24/1947,Wally Labeuil,3/19/2018
Foxfire,Comedia,2.7,22536206.27,66276432.43,Dwayne Gallelli,10/15/1999,Yul Chattaway,3/27/2024
Errors of the Human Body ,Histórico,1.3,22094457.22,56890694.96,Marlane Taylorson,1/12/2018,Ina Rogister,12/18/1935
Tormented,Histórico,3.8,13281132.89,17357004.33,Adelle Freiberg,6/11/1957,Tedmund Skinner,8/16/2009
Filming 'Othello',Suspense,2.46,18188707.25,26791974.55,Loy Broadbent,5/20/1947,Theodora Lorimer,9/11/2007
Son of Godzilla (Kaijûtô no kessen: Gojira no musuko),Drama,3.64,16019588.43,33753735.2,Geordie Ishak,10/31/1953,Gwendolen Kellet,10/29/1944
La dama boba,Misterio,2.71,5562727.55,13996953.07,Way Ollerhead,4/27/1947,Nonnah Pointon,5/10/2011
Shadows of a Hot Summer (Stíny horkého léta),Terror,1.55,19495456.57,35134092.26,Hedwig Brennand,11/30/1990,Vincenz Bonnet,5/24/1930
Shampoo,Comedia,3.04,11097081.26,15761034.51,Kyle Climer,5/25/1951,Westleigh Benyan,7/11/2013
Lover Come Back,Documental,2.8,6527943.23,9758617.9,Sharyl Buxy,4/22/1967,Aigneis O' Donohoe,9/29/1999
Whisper of the Heart (Mimi wo sumaseba),Animación,2.39,15776741.28,41098881.22,Staci Boncore,5/18/1999,Kerby Coling,12/12/2009
Ripley's Game,Western,3.42,11349920.42,33244456.69,Mortimer Crone,6/10/1955,Hallsy Signoret,10/26/1991
Asylum Blackout,Musical,2.41,21313322.13,37933920.6,Eldredge Llywarch,7/27/1935,Cherida Pegler,3/15/1957
That Was Then... This Is Now,Bélico,2.68,11034680.91,31273156.89,Beale Mewis,6/24/1975,Hazel Everwin,4/21/2003
The Road to Glory,Cine negro,2.38,17628535.91,52218667.06,Lissi Frostdick,5/1/1964,Laurie Baudasso,2/2/1990
Dunston Checks In,Comedia,3.73,24764941.19,54111943.07,Jennilee Turnbull,6/26/2008,Sher Wolfe,6/25/1992
You and Me,Documental,1.68,24400117.52,32247633.95,Essy Itzkovwich,1/20/1981,Teodora Giannassi,3/14/1994
Violet & Daisy,Aventura,1.24,20123087.7,30210352.44,Imogene Shipcott,7/24/1935,Petronille Pierucci,8/10/2009
Dead Reckoning,Animación,2.75,24306172.44,45690323.53,Jamil Kimbly,3/20/1977,Melinda Grassi,10/15/1986
Dadetown,Animación,2.67,7615342.49,15261358.27,Hercules Doohan,10/22/2025,Nicki Lisimore,6/11/1934
"King of Masks, The (Bian Lian)",Misterio,1.37,11842362.15,24199734.26,Fran Saura,4/10/2021,Quentin Binion,12/18/2015
But I'm a Cheerleader,Suspense,3.46,24141989.33,49449411.56,Cristine Vina,6/12/2022,Nelly Overel,5/20/2022
"Home of Dark Butterflies, The (Tummien perhosten koti)",Bélico,2.0,13505263.38,21571620.31,Shelley Sale,9/3/2003,Cass Canty,6/4/1950
Marie Antoinette,Histórico,3.06,7126888.31,14887656.87,Rosaleen Veall,2/28/1954,Eleanore Kayes,1/14/1944
Love Sick Love,Misterio,3.84,15024250.54,21352840.84,De witt Hune,8/11/1961,Gertruda Roffe,2/16/1983
Berlin 36,Suspense,1.74,9069839.7,14555044.67,Hatti Manueau,1/18/1937,Valentin Maken,12/12/1970
Tiresia,Cine negro,3.91,13266064.21,39534676.32,Carilyn Wolledge,8/25/2014,Peg Rustan,9/21/1940
Without Pity,Acción,3.95,27123295.62,37176515.44,La verne Gorringe,11/12/1942,Inglebert Skeat,5/5/1974
"Running Man, The",Misterio,3.8,11354755.55,29692256.47,Aurelia Dowty,2/16/2021,Elsi Georgescu,11/3/1966
Arctic Tale,Romance,2.51,23494898.19,57899597.61,Rozamond Haffenden,7/4/1933,Maddie Barczewski,10/6/1980
The Incite Mill - 7 Day Death Game,Histórico,1.22,6569060.88,13994394.53,Kellina Napleton,3/28/1949,Caroljean Ivanenkov,8/18/1955
"Patsy, The",Terror,3.09,27788412.91,47339049.28,Stephanie McGeraghty,10/14/2014,Mendel Gosenell,11/30/1938
Accident on Hill Road,Terror,1.83,13054848.66,20567254.36,Erina Frean,6/15/1952,Lacey Fermer,6/1/1976
"Scarlet Dove, The (Tulipunainen kyyhkynen)",Comedia,1.61,11157107.76,21384522.63,Teodoro Dorwood,6/20/2000,Bailey Sivyour,11/22/2008
"Swan Princess: The Mystery of the Enchanted Treasure, The",Suspense,3.22,23587124.06,51673403.85,Wrennie Gibson,10/27/1954,Rici Rentcome,8/1/2009
"Matter of Life and Death, A (Stairway to Heaven)",Suspense,1.24,8474386.88,14591530.32,Kristine Presho,11/14/1960,Betsy Mapletoft,9/29/2020
Resistance,Documental,2.04,16709939.32,47613941.73,Lynelle Learmonth,5/3/2003,Cecilius Ackred,3/29/1973
"Invisible Circus, The",Comedia,2.75,23727432.68,59619103.29,Mirilla Krates,5/4/1948,Yelena Tremayne,11/30/1948
"Girl with the Red Scarf, The (Selvi boylum, al yazmalim)",Terror,1.15,17485631.95,47464737.53,Leisha Santoro,3/2/1997,Derril MacNaughton,1/2/2016
"If I Want to Whistle, I Whistle (Eu cand vreau sa fluier, fluier)",Cine negro,1.13,9967857.4,29351372.56,Harrison Coulthard,9/6/2016,Hobey Christofle,1/2/2023
Dream Land,Misterio,1.59,19911631.48,40573404.07,Dona Dearnaley,5/25/1998,Stevana Pettman,8/31/1980
"Newest Pledge, The",Misterio,3.14,17931671.18,43200944.28,Theda Lydster,8/2/1992,Buckie Muir,7/28/2020
2010: The Year We Make Contact,Bélico,2.32,11364383.14,25482755.65,Marena Dysert,8/27/1958,Hyacinthia Itzhaiek,8/15/1944
Joan of Paris,Drama,1.44,16695702.11,34482658.3,Sabrina Warfield,1/9/1935,Marge Waycott,3/11/2022
Resurrection of the Little Match Girl (Sungnyangpali sonyeoui jaerim),Histórico,2.79,12830789.17,21417438.28,Ambrosio Toward,2/21/1984,Aileen Llewhellin,10/30/1963
Why Do Fools Fall In Love?,Cine negro,2.38,9108519.38,23015915.97,Barry Norwell,12/30/1985,Orlan Oxer,5/20/1991
Dark Woods (Villmark),Romance,3.02,27854086.82,61940680.68,Ulrica Minget,3/28/2009,Allina Rountree,6/17/2019
Save the Date,Ciencia ficción,1.76,23487186.6,53812412.49,Theo Wolfers,4/19/2022,Xenos Froome,8/14/1955
Robot,Suspense,2.87,11823222.17,21523148.76,Parker Stocken,10/12/2003,Andree Seamons,9/27/1956
Morgan!,Animación,1.83,7259252.41,18570514.49,Thayne Waldocke,9/7/2005,Ashia Fairburn,5/22/2009
